channel,yt_link,downloaded_video_path,aws_link,likes,no_of_comments,title
Affiliate Influx,https://www.youtube.com/watch?v=D5nlt9anKcw,G:/videos/affiliateinflux/video1.mp4,https://videos-bucket-50.s3.ap-south-1.amazonaws.com/affiliateinflux/video1.mp4,1,1 Comment,How to become a Graphic Designer | Graphic Designing as a career
Affiliate Influx,https://www.youtube.com/watch?v=9q98gdw8nMY,G:/videos/affiliateinflux/video2.mp4,https://videos-bucket-50.s3.ap-south-1.amazonaws.com/affiliateinflux/video2.mp4,1,1 Comment,Journey from broke to 5-figure entrepreneur | How to become a successful Entrepreneur
